Table: Ground-state properties of even-even nuclei calculated by the DRHBc theory

Z				Proton number
N				Neutron number
A				Mass number
Eb_cal			(MeV) Binding energy from DRHBc calculations
Ebrot_cal		(MeV) Binding energy plus rotational correction energy from DRHBc calculations, which is suggested to be compared with the experimental value
Eb_exp			(MeV) Binding energy from experimental data
S2n				(MeV) Two-neutron separation energy
S2p				(MeV) Two-proton separation energy
Rn				(fm) Neutron root-mean-square radius
Rp				(fm) Proton root-mean-square radius
Rm				(fm) Matter root-mean-square radius
Rch_cal			(fm) Charge radius from DRHBc calculations
Rch_exp			(fm) Charge radius from experimental data
beta_n			Neutron quadrupole deformation
beta_p			Proton quadrupole deformation
beta_t			Matter quadrupole deformation
lam_n			(MeV) Neutron Fermi surface
lam_p			(MeV) Proton Fermi surface

Note: Unavailable data are shown by ####

Z	A	N	Eb_cal	Ebrot_cal	Eb_exp	S2n	S2p	    Rn	    Rp	    Rm	    Rch_cal	Rch_exp	beta_n	beta_p	beta_t	lam_n	lam_p
24	50	26	433.62	435.67	435.05	23.66	16.57	3.58	3.56	3.57	3.65	3.66	0.257	0.268	0.262	-11.03	-7.19
24	52	28	454.84	454.84	456.35	21.22	18.12	3.59	3.52	3.56	3.61	3.65	0.000	0.000	0.000	-10.06	-8.45
24	54	30	471.72	473.73	474.01	16.88	21.40	3.72	3.58	3.66	3.67	3.69	0.231	0.225	0.229	-8.29	-10.08
24	56	32	486.33	488.63	488.50	14.61	23.56	3.81	3.62	3.73	3.70	####	0.225	0.222	0.224	-7.19	-11.31
24	58	34	499.63	501.97	501.35	13.30	25.74	3.89	3.64	3.79	3.72	####	0.193	0.196	0.194	-6.59	-12.40
24	60	36	511.83	514.20	512.41	12.20	27.58	3.96	3.66	3.84	3.74	####	0.131	0.141	0.135	-6.16	-13.32
24	62	38	523.61	523.61	522.50	11.78	29.51	4.02	3.68	3.89	3.76	####	0.000	0.000	0.000	-6.11	-14.22
24	64	40	535.34	535.34	531.43	11.74	31.87	4.09	3.71	3.95	3.79	####	0.000	0.000	0.000	-4.94	-15.36
24	66	42	542.47	542.47	####	7.13	34.21	4.15	3.73	4.00	3.81	####	0.000	0.000	0.000	-3.47	-16.58
24	68	44	549.84	551.94	####	7.37	37.81	4.24	3.78	4.09	3.87	####	0.225	0.244	0.232	-3.73	-17.91
24	70	46	556.07	558.23	####	6.23	40.47	4.31	3.81	4.15	3.89	####	0.265	0.265	0.265	-2.85	-19.07
24	72	48	561.01	563.12	####	4.94	42.48	4.40	3.83	4.22	3.92	####	0.314	0.280	0.303	-2.30	-20.04
24	74	50	564.62	566.76	####	3.61	43.77	4.47	3.85	4.28	3.93	####	0.311	0.269	0.298	-1.73	-20.86
24	76	52	567.33	569.56	####	2.71	44.65	4.54	3.87	4.34	3.95	####	0.293	0.250	0.279	-1.42	-21.52
24	78	54	569.55	571.81	####	2.23	45.30	4.61	3.88	4.40	3.96	####	0.266	0.225	0.253	-1.22	-22.07
24	80	56	571.46	573.71	####	1.91	45.73	4.68	3.89	4.46	3.97	####	0.219	0.189	0.210	-1.07	-22.49
24	82	58	573.16	575.42	####	1.70	46.07	4.75	3.89	4.52	3.97	####	0.150	0.138	0.147	-0.99	-22.77
24	84	60	574.78	574.78	####	1.62	46.62	4.83	3.88	4.58	3.96	####	0.000	0.000	0.000	-0.93	-22.95
24	86	62	576.15	576.15	####	1.37	47.40	4.90	3.90	4.65	3.98	####	0.000	0.000	0.000	-0.65	-23.37
24	88	64	576.86	576.86	####	0.71	48.30	4.96	3.93	4.70	4.01	####	0.000	0.000	0.000	-0.38	-23.86
24	90	66	577.21	577.21	####	0.35	49.36	5.01	3.96	4.76	4.04	####	0.000	0.000	0.000	-0.20	-24.37
24	92	68	577.20	577.20	####	-0.01	50.38	5.06	4.00	4.81	4.08	####	0.000	0.000	0.000	0.00	-24.90
26	46	20	351.81	351.81	####	####	0.30	3.38	3.65	3.53	3.73	####	0.000	0.000	0.000	-18.70	0.32
